sampleID,depthUpper,depthLower,weight,toc,sh0,sh1,oil,sh2,nso,s3,tMax,depthMedian,hi,oi,tpi,osi,oilInRock,vRo1,vRo2,vRo3,prcntOilLight,prcntOilHeavy,prcntNso,s2s3,wellID,rowID
1,2546,,60.5,0.74,0,1.05,1.05,1.75,0,0.38,443,"2,546.00",237.77,51.63,0.38,142.66,25.46,0.86,0.75,0.81,0,100,0,4.61,1,01-Jan
2,2546.85,,60.2,1.65,0,1.17,1.17,3.89,0,0.29,445,"2,546.85",235.61,17.57,0.23,70.87,28.37,0.9,0.78,0.85,0,100,0,13.41,1,02-Jan
3,2548.94,,60.4,0.81,0,0.58,0.58,1.63,0,0.28,445,"2,548.94",201.73,34.65,0.26,71.78,14.07,0.9,0.78,0.85,0,100,0,5.82,1,03-Jan
4,2549.65,,60.1,2.11,0,1.17,1.17,5.15,0,0.25,445,"2,549.65",244.66,11.88,0.19,55.58,28.37,0.9,0.78,0.85,0,100,0,20.6,1,04-Jan
5,2551.14,,60.1,2.37,0,1.43,1.43,6.09,0,0.31,445,"2,551.14",256.85,13.07,0.19,60.31,34.68,0.9,0.78,0.85,0,100,0,19.65,1,05-Jan
6,2552.93,,60.2,2.02,0,1.25,1.25,5.38,0,0.44,448,"2,552.93",266.87,21.83,0.19,62,30.31,0.95,0.83,0.9,0,100,0,12.23,1,06-Jan
7,2553.59,,60.4,3.02,0,2.08,2.08,8.88,0,0.43,445,"2,553.59",293.75,14.22,0.19,68.81,50.44,0.9,0.78,0.85,0,100,0,20.65,1,07-Jan
8,2555.09,,60.2,2.3,0,1.51,1.51,6.49,0,0.4,444,"2,555.09",282.54,17.41,0.19,65.74,36.62,0.88,0.77,0.83,0,100,0,16.23,1,08-Jan
9,2556.52,,60.8,4.12,0,2.85,2.85,15.82,0,0.3,444,"2,556.52",384.17,7.29,0.15,69.21,69.11,0.88,0.77,0.83,0,100,0,52.73,1,09-Jan
10,2557.13,,60.4,3.59,0,2.42,2.42,13.64,0,0.37,444,"2,557.13",379.52,10.29,0.15,67.33,58.69,0.88,0.77,0.83,0,100,0,36.86,1,10-Jan
11,2558.2,,60.4,0.56,0,0.51,0.51,1.12,0,0.33,432,"2,558.20",201.44,59.35,0.31,91.73,12.37,0.67,0.59,0.62,0,100,0,3.39,1,11-Jan
12,2558.3,,60.4,5.02,0,3.14,3.14,21.09,0,0.48,444,"2,558.30",420.04,9.56,0.13,62.54,76.15,0.88,0.77,0.83,0,100,0,43.94,1,12-Jan
13,2558.71,,60.2,5.54,0,3.99,3.99,23.42,0,0.3,442,"2,558.71",422.82,5.42,0.15,72.03,96.76,0.84,0.74,0.8,0,100,0,78.07,1,13-Jan
14,2559.77,,60.6,2.11,0,1.13,1.13,5.91,0,0.34,445,"2,559.77",279.7,16.09,0.16,53.48,27.4,0.9,0.78,0.85,0,100,0,17.38,1,14-Jan
15,2560.48,,0,5.1,0,3.78,3.78,22.48,0,0.29,442,"2,560.48",441.04,5.69,0.14,74.16,91.67,0.84,0.74,0.8,0,100,0,77.52,1,15-Jan
16,2561.06,,0,1.36,0,1.18,1.18,3.53,0,0.26,440,"2,561.06",258.99,19.08,0.25,86.57,28.62,0.81,0.71,0.76,0,100,0,13.58,1,16-Jan
17,2562.61,,0,4.5,0,2.77,2.77,16.33,0,0.37,445,"2,562.61",363.29,8.23,0.15,61.62,67.17,0.9,0.78,0.85,0,100,0,44.14,1,17-Jan
18,2563.07,,0,5.46,0,3.24,3.24,24.86,0,0.28,444,"2,563.07",455.73,5.13,0.12,59.4,78.57,0.88,0.77,0.83,0,100,0,88.79,1,18-Jan
19,2563.49,,0,5.26,0,3.63,3.63,23.82,0,0.27,443,"2,563.49",452.51,5.13,0.13,68.96,88.03,0.86,0.75,0.81,0,100,0,88.22,1,19-Jan
20,2564.02,,0,1.02,0,0.6,0.6,1.92,0,0.36,445,"2,564.02",188.24,35.29,0.24,58.82,14.55,0.9,0.78,0.85,0,100,0,5.33,1,20-Jan
21,2565.91,,0,2.42,0,1.43,1.43,6.65,0,0.31,444,"2,565.91",275.25,12.83,0.18,59.19,34.68,0.88,0.77,0.83,0,100,0,21.45,1,21-Jan
22,2566.24,,0,2.65,0,1.72,1.72,7.61,0,0.35,443,"2,566.24",287.39,13.22,0.18,64.95,41.71,0.86,0.75,0.81,0,100,0,21.74,1,22-Jan
23,2566.4,,0,2.65,0,2,2,9.8,0,0.28,443,"2,566.40",369.67,10.56,0.17,75.44,48.5,0.86,0.75,0.81,0,100,0,35,1,23-Jan
24,2566.69,,0,3.41,0,1.95,1.95,10.83,0,0.25,445,"2,566.69",317.97,7.34,0.15,57.25,47.29,0.9,0.78,0.85,0,100,0,43.32,1,24-Jan
1,2690.8,,60.5,0.61,0,0.35,0.35,1.7,0,0.6,447,"2,690.80",278.69,98.36,0.17,57.38,8.49,0.93,0.81,0.89,0,100,0,2.83,2,01-Feb
2,2691.8,,60.2,0.42,0,0.27,0.27,0.65,0,0.7,445,"2,691.80",154.76,166.67,0.29,64.29,6.55,0.9,0.78,0.85,0,100,0,0.93,2,02-Feb
3,2693,,60.4,0.76,0,0.46,0.46,2.18,0,0.49,447,"2,693.00",286.84,64.47,0.17,60.53,11.16,0.93,0.81,0.89,0,100,0,4.45,2,03-Feb
4,2694.15,,60.1,0.46,0,0.34,0.34,0.97,0,0.59,445,"2,694.15",210.87,128.26,0.26,73.91,8.25,0.9,0.78,0.85,0,100,0,1.64,2,04-Feb
5,2695.3,,60.1,1.48,0,1.14,1.14,3.96,0,0.37,446,"2,695.30",267.57,25,0.22,77.03,27.65,0.91,0.8,0.87,0,100,0,10.7,2,05-Feb
6,2696.2,,60.2,2.59,0,1.93,1.93,7.94,0,0.31,447,"2,696.20",306.56,11.97,0.2,74.52,46.8,0.93,0.81,0.89,0,100,0,25.61,2,06-Feb
7,2697.35,,60.4,2.06,0,2.11,2.11,6.06,0,0.38,446,"2,697.35",294.17,18.45,0.26,102.43,51.17,0.91,0.8,0.87,0,100,0,15.95,2,07-Feb
8,2698.3,,60.2,0.6,0,0.6,0.6,1.57,0,0.21,444,"2,698.30",261.67,35,0.28,100,14.55,0.88,0.77,0.83,0,100,0,7.48,2,08-Feb
9,2699.55,,60.8,3.65,0,3.12,3.12,12.12,0,0.23,444,"2,699.55",332.05,6.3,0.2,85.48,75.66,0.88,0.77,0.83,0,100,0,52.7,2,09-Feb
10,2700.35,,60.5,5.31,0,3.34,3.34,19.2,0,0.33,443,"2,700.35",361.58,6.21,0.15,62.9,81,0.86,0.75,0.81,0,100,0,58.18,2,10-Feb
11,2701.55,,60.4,3.51,0,3.35,3.35,11.31,0,0.2,446,"2,701.55",322.22,5.7,0.23,95.44,81.24,0.91,0.8,0.87,0,100,0,56.55,2,11-Feb
12,2702.7,,60.4,2.55,0,2.69,2.69,7.67,0,0.22,448,"2,702.70",300.78,8.63,0.26,105.49,65.23,0.95,0.83,0.9,0,100,0,34.86,2,12-Feb
13,2703.75,,60.2,3.31,0,3.4,3.4,11.26,0,0.22,445,"2,703.75",340.18,6.65,0.23,102.72,82.45,0.9,0.78,0.85,0,100,0,51.18,2,13-Feb
14,2704.86,,60.6,0.45,0,1.44,1.44,1.23,0,0.2,422,"2,704.86",273.33,44.44,0.54,320,34.92,0.5,0.44,0.44,0,100,0,6.15,2,14-Feb
15,2705.8,,0,0.24,0,0.23,0.23,0.48,0,0.17,442,"2,705.80",200,70.83,0.32,95.83,5.58,0.84,0.74,0.8,0,100,0,2.82,2,15-Feb
